text,score
selfie with my fav girls,1
enjoyed a beautiful spring day in anderson sc watching erica dorn fulfill her dream to play college tennis …,2
a beautiful day in anderson sc watching erica dorn class of fulfulling her dream to play college tennis …,1
these two cuties just make the car look better ,1
"i wanted to be there t t lovely i can feel all their love to our boys 
thank you to instagram nessiese…",3
miss my babies,-1
of the positive eight,1
peyton is so excited for her very first sleepover with her cousin my sweet niece aidynn we have missed her so mu…,1
enjoying this relaxing weekend at pigeon forge with mygirls…,1
wish i was there with my babies today i love you three more than you know cheering you on from home ,1
yes i really am this lucky these two are so special to me,1
it was nearly pm and finally after a lot of waiting the fans were told we could enter the hall there was a mothe…,1
happy bitthday baby ziv ,1
finally tenacity douglass high school,1
this pic was taken tuesday these are my girls this pic makes me so happy they’ve figured out what it’s all about i’m s…,1
"this is one of the toughest days since i became a wbb fan 
so many of competing against each other
saying goodbye to ",1
about to be out and about in dc and i’m just worried about the rain the rain is not my friend i just straightene…,-1
mygirls miss you sissy jessa see you soonest ,-1
dinner time after a brilliant day of work inn on…,2
"from props amp costume to hairdos 
thank you tita weng a dela cruz for their make up ",1
gunwoo twitter update i’m so happy today thank you all of you mygirls let’s meet more i love you thank yo…,4
first win of the season yesterday and first home game today,1
it’s as if you wake up today on a strange planet where everyth more for gemini,-1
soothe and heal your soul in nature …,2
mygirls who can go to myname s fanmeet pls go take your friends along he s worrying too much how i wish i coul…,-1
i can’t understand why korea is still sleeping on myname can you please wake up why can’t you see their talent kindnes…,1
i just wish mygirls would not share old pictures from the previous fan meeting on a day like this lol every time…,1
are there any other intl mygirls who can’t attend the myname fanmeet and want to mope together with me,-1
this makes me sound like i see them by my own eyes lol i mean i see mygirls saying that on fancafe,1
hr and a half to travel to glentress to see me race and they’re still smiling after getting up at am my number o…,1
beautiful sunset,1
who’s a pretty girl,1
i am so fortunate that i have such strong girlfriends that keep me going,2
somewhere between the mornings sticky hands and goodnight kisses motherhood hit me everyday has a story an…,-1
love this too true way too often,1
forever grateful for my friends i see girls out there struggling and i wish they had the support we do …,1
forever grateful for my friends i see girls out there struggling and i wish they had the support we do,1
baby girl earlier cute on this rainy,1
fantastic for and to be recognised for their fundraising efforts for today a…,1
fantastic for and to be recognised for their fundraising efforts for tod…,1
sister love,1
"when you bring your besties together to celebrate your best day who doesn’t need a pink beer coozie ",2
one year ago today in a silent theatre inside of monroe high completely full of people my daughter yelled good job…,2
this pic was taken tuesday these are my girls this pic makes me so happy they’ve figured out what it’s all about…,1
too cute and head off to school all cozied up for …,1
i have the best friends ,1
hearing my tori say “i’m excited to see my big sister i like my big sister” melts me,2
"gugudan sbs popasia gugu s hilarious karaoke impression
who is the funniest member 
soyee sally
who is the c…",1
"mygirls myboys and fans of seyong from the unit we need your help 
we want to help make myname s dreams of a korean comeba…",1
"info met with i o i members during her chinese new year break",-1
nothing like cleaning and finding sonograms from years ago,1
still love this pic ,1
chill en golf y country club de trujillo,-1
my girls she loves holding her sister …,1
y’all tell me my chubby nieces aren’t the cutest i’m so glad i got two nieces in one month this summer i adore th…,2
me and my girls tonight at science fair ,1
i guess they missed me,-1
backyard hanging with perfect weather,1
feeling exceptionally grateful for these two and our beach days today ,2
snap fun,1
but he could sing maybe he was nervous because mygirls were watching lol,-1
mygirls are proud of you we love you seyong ,2
fun times with these two ,1
the best girls ,1
"everyone is so kind and really love the boys mygirls would do anything for their suceed 
i just want everyone to know h…",1
great to get our quad crew out now that illness amp injury have retreated good conditions for lots of tech amp a couple…,-1
have fun i hope lots of mygirls shower you all with unconditional love ,3
always put a smile on my face,1
it s time to go and do what i do but i nvr want to go as i will miss time with my dipsticks,-1
still so proud,1
love these beauties keeks xo mocabean,1
more dayys till gt’s fav boy cheerleader fucks it up at nationals with my girls,1
i can’t express the joy i felt when i got home from work tonight and my phone connected to my wifi and downloaded a…,2
i got sunshine on a cloudy day,-1
love it,1
i don’t think u’re ready for this jelly ,1
something that represents me are rough day…,-1
wonderful wednesday …,1
happy snow day ,1
i love the pictures that get sent around the group ,1
let’s climb very high up this tree to freak out dad,-1
lmao totally us i’m the innocent one the instigator and the one who has no…,-1
the ones who are close to me i love you,1
no school so it’s a provan selfie,0
our pile of mussel shells vs the girls pile ,0
find your clan love them hard still celebrating …,0
cousins ,0
sometimes i have to pinch myself i’m one lucky guy,0
sofia is making them play weddings,0
another weekend to spend with these …,0
is it sad that i am just as excited as my two yr olds to be watching brand new paw patrol ,0
bishop s hull,0
mygirls forever ,0
"os melhores mashups do youtube 

bp e fh aiiyl e me amp mygirls 
cc e fh realfriends e down 
cc e lj citc e all night…",0
"bigstar s sunghak
 myname s insoo ",0
days robyn and calissi away with daddy to try get baby milk,0
skyler practicing her swimming for croatia gardens western…,0
first snow,0
just me and my girls shondarhimes …,0
they braid each other up before games …,0
mygirls,0
my two big dipsticks,0
taken down at the river days apart what is with this weather h…,0
new wheels,0
taken down at the river days apart what is with this weather,0
she’s reading to her baby sister again,0
my girls paige darian,0
reading with,0
these two though <U+263A><U+FE0F><U+2764><U+FE0F> …,0
the white rabbit amp peter rabbit <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+623C><U+3E30> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E34>,0
career day at school <U+2764><U+FE0F>,0
amp all of my sisters <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E64><U+2665><U+FE0F>,0
my girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E36>,0
you may find unexpected calm in the middle of a sea of change more for gemini,0
no nursery run means morning snuggles <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>,0
"relaxing day

 …",0
has mentioned twice on so far and we’re two episodes in i see a calab or…,0
my baby amp her person <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E38>,0
my very own special <U+2764><U+FE0F> …,0
"sprinters runners
injured today healed tomorrow
 
they…",0
<U+2765>mygirls,0
carnegie science center,0
me amp mygirls,0
always,0
a vic,0
my husband took a video yesterday of the girls and me hanging out in the yard and this is a screenshot from that …,0
summer vibes <U+26F1><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63>,0
"my big girl reading to my littlest girl <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65>
 …",0
"there is no limit to what we as women can accomplish michelle obama

drawing a picture of these two …",0
brunch date with these two keeps them grounded <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39>,0
fur dogz wellness,0
my two youngest girls,0
expectation vs reality<U+2764><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E33>,0
"os melhores mashups do youtube 

bp e fh aiiyl e me amp mygirls 
cc e fh realfriends e down 
cc e lj citc e all ni…",0
"carnavaaaal <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33>
 <U+2764>",0
"a kiss at the end for all his mygirls<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E36>

 <U+C138><U+C6A9> <U+B9C8><U+C774><U+B124><U+C784> <U+30DE><U+30A4><U+30CD><U+30FC><U+30E0>",0
i cannot wait for mckinley <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>,0
and i living it up waiting on,0
synchronized sleeping <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> always touching is s…,0
my girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,0
bedtime story with mummy,0
one of my favourite pictures of these two,0
holy shit girls on one snapchat <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E62>taste mygirls …,0
checked one babe out of school to eat lunch with the other babe <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>,0
w mygirls,0
have you seen my latest video it’s a vlog it’s been a minute since my last i leave it for special occasions…,0
the girls you can’t say “i do” without …,0
jbeil byblos,0
but first we gotta take a selfie <U+2764><U+FE0F>,0
you’re up to your old tricks again today impressing those in more for gemini,0
and sleeping together it’s taken a while but they are now getting along…,0
"with mygirls with bluesky 

 ternadi",0
my facebook memories today had these pictures <U+263A><U+FE0F><U+2665><U+FE0F>,0
…,0
my two little blessings,0
yet again in my feelings for amp watching this,0
my world,0
we push each other to <U+2764> …,0
two women on my side is my secret power <U+2665><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E61> em planet krypton,0
we been chasing this dream since south view days now look at us,0
you probs don’t even notice<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E61><U+2728>,0
"meeting their baby sister for the first time last night through facetime 

 …",0
just cooking dinner together,0
kisses to me from my queens<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>,0
"toasting to our upcoming womans trip <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>
 …",0
mygirls<U+2764><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34> kedah,0
this was after cirilla tried to bite her face <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31> …,0
magical amp slightly mundane monday s http…,0
ladies night <U+2764><U+2764><U+2764> …,0
watching the kardashians <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> since way bck,0
ur a pioneer for mygirls and boys,0
our furbaby elsa turned two this week <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> …,0
uncle music came over for dinner and was immediately roped in to playing a series of board games with the gir…,0
uncle music came over for dinner and was immediately roped in to playing a series of board games with…,0
for a couple years now that happens every th of every month to represent october when the boys debuted intl myg…,0
for a couple years now that happens every th of every month to represent october when the boys debuted i…,0
tbt to the day we realized our new pet has his own new pet https t…,0
<U+2764><U+FE0F> east greenwich rhode island,0
"i m laughing at how insoo manages to go undetected around mygirls myboys at these myname events

his stealth level irl …",0
holding her sister for the first time <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>,0
grammas something special <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61> audracrawford,0
i forgot to take a pic of them while on the mat cause i was so invested <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62> but i did come for,0
barry island,0
with my bestfriend and my babygirl<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E64>,0
the bond these girls have is inseparable …,0
"i m laughing at how insoo manages to go undetected around mygirls myboys at these myname events

his stealth level…",0
its official is play listed on,0
my girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>,0
hey girl <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63> …,0
my girls on tour,0
my forever girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>,0
mygirls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>,0
my sisters <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38>,0
,0
how many mygirls go to myname s fanmeeting succesfull,0
you may be searching for a new direction in life especially i more for gemini,0
james bond island with my own bond girls the adventures never stop <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E64> …,0
when you up a ladder trying to paint and a dipstick shouts from the bathroom that they have pooped and need a hand wiping y…,0
when you up a ladder trying to paint and a dipstick shouts from the bathroom that they have pooped and need a hand…,0
birthday girls in the house <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+383C><U+3E33> mygirls,0
caught the spuds not trying to murder each other how adorable <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E37> …,0
me and my friends,0
my girls,0
<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> them the springs event venues,0
mother daughter day out,0
our girls are twinsies tonight tamiami florida,0
amp we’re out girls night <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> …,0
mygirls,0
pizza night,0
saturday sunglasses and selfies <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E36>,0
have all the nieces for the night for a sleep over <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>,0
my heartbeat …,0
park time with my girls,0
new profil picture …,0
saturday snow day …,0
is it already summer <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E62> …,0
me dedra amp whitney <U+270A><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E65>,0
"chaejin twitter update <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>

thank you mygirls for coming

 <U+B9C8><U+C774><U+B124><U+C784> <U+CC44><U+C9C4>",0
let’s go guys we got this rest of my girls <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>,0
overnight with mygirls,0
breakfast date with my girls downtown charleston,0
averi is just kicking away this morning and liyah is snuggled up so close to me still snoring away <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E30>,0
mygirls<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>,0
yesterdey night <U+203C><U+FE0F> …,0
my daughters live several hours away from each other but have managed to be in the same place times this month …,0
last day at the beach st kitts amp nevis,0
full swing daddy daughter dance,0
it s saturday <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> nesher,0
"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E61>morning jammies selfie of my girls my lil world in one photo <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E61>
 …",0
last night bedtime reading …,0
thanks i can do the kanji and romanized lyrics by myself but for translations i will use yours with plea…,0
i even see mygirls from countryside goes to fanmeet by train and since the fanmeet starts at pm it will end b…,0
"update 
 
 sharing posters slogans at the coffee bean…",0
my ladies abisurlamendez emflors sharonsaturday …,0
deeeelicious with <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E34><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E38>,0
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E33><U+383C><U+3E64>abrza w mygirls,0
"so cutie <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>
 <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+613C><U+3E64><U+2764>",0
we go from classy to trashy so quickly …,0
first crawfish of the year …,0
my heart <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> pearl street brewery,0
another thing booked for the wedding <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+623C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E63> …,0
"all i need <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63>
 
 
 
 …",0
i make it happen for me mygirls amp him <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>,0
don’t leave my side in bath and she lay waiting <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35> …,0
